frame,pixel,t,s
0,493,1.83,22 
10,497,1.87211,21.842 
20,515,1.91421,21.1312 
30,549,1.95632,19.7884 
40,599,1.99842,17.8138 
50,661,2.04053,15.3652 
60,734,2.08263,12.4822 
70,820,2.12474,9.08587 
80,910,2.16684,5.53152 
90,1000,2.20895,1.97717 
95,1045,2.23,0.2 
